vg,id
-0.3,0.00011776
-0.275,0.0000724
-0.25,0.0000493
-0.225,0.0000352
-0.2,0.0000254
-0.175,0.0000278
-0.15,0.0000189
-0.125,-0.00000211
-0.1,0.0000978
-0.075,0.0000111
-0.05,0.0000583
-0.025,0.000029
5.55E-17,0.0000377
0.025,0.0000725
0.05,0.000164176
0.075,0.00039596
0.1,0.0009614
0.125,0.0023172
0.15,0.0057112
0.175,0.0137824
0.2,0.03342
0.225,0.079996
0.25,0.188944
0.275,0.43852
0.3,0.97852
0.325,2.07748
0.35,4.194
0.375,7.7188
0.4,13.2032
0.425,20.936
0.45,31.224
0.475,43.48
0.5,57.76
0.525,73.784
0.55,91.216
0.575,109.72
0.6,129.232
0.625,149.444
0.65,170.24
0.675,191.38
0.7,212.68
0.725,234
0.75,255.36
0.775,276.6
0.8,297.84
0.825,318.92
0.85,340.04
0.875,360.88
0.9,381.32
0.925,401.48
0.95,421.08
0.975,439.92
1,458.12
1.025,475.44
1.05,491.6
1.075,506.72
1.1,520.4
1.125,532.6
1.15,543.28
1.175,552.12
1.2,559.2
