,Vgs,Vds,Ids,length,finger,width,Ids_coarse,alpha
0,1.2,0.1,-4.006,25.0,2.0,25.0,62.074,-0.06453587653445887
1,1.2,0.2,150.56,25.0,2.0,25.0,198.486,0.7585421641828644
2,1.2,0.3,280.16,25.0,2.0,25.0,321.489,0.871445057218132
3,1.2,0.4,385.08,25.0,2.0,25.0,421.778,0.9129921427860153
4,1.2,0.5,464.88,25.0,2.0,25.0,491.821,0.9452219405027438
5,1.2,0.6,518.16,25.0,2.0,25.0,531.271,0.9753214461169535
6,1.2,0.7,546.64,25.0,2.0,25.0,548.835,0.9960006194940191
7,1.2,0.8,557.72,25.0,2.0,25.0,555.145,1.0046384277981428
8,1.2,0.9,560.96,25.0,2.0,25.0,556.847,1.0073862299698122
9,1.2,1.0,561.6,25.0,2.0,25.0,556.901,1.0084377654197068
10,1.2,1.1,561.44,25.0,2.0,25.0,556.43,1.009003827974768
11,1.2,1.2,561.04,25.0,2.0,25.0,555.828,1.0093770015184553
12,1.2,1.3,560.4,25.0,2.0,25.0,555.222,1.0093259993299977
13,1.2,1.4,559.56,25.0,2.0,25.0,554.654,1.0088451539157743
14,1.2,1.5,558.6,25.0,2.0,25.0,554.126,1.0080739759549273
15,1.2,1.6,557.56,25.0,2.0,25.0,553.636,1.0070876893843608
16,1.2,1.7,556.44,25.0,2.0,25.0,553.177,1.0058986544993738
17,1.2,1.8,555.28,25.0,2.0,25.0,552.744,1.004588019046792
18,1.2,1.9,554.08,25.0,2.0,25.0,552.33,1.003168395705466
19,1.2,2.0,552.76,25.0,2.0,25.0,551.933,1.0014983702732034
20,1.2,2.1,551.4,25.0,2.0,25.0,551.546,0.9997352895316074
21,1.2,2.2,550.08,25.0,2.0,25.0,551.167,0.9980278209689623
22,1.2,2.3,548.68,25.0,2.0,25.0,550.793,0.996163713046462
23,1.2,2.4,547.28,25.0,2.0,25.0,550.421,0.9942934590068329
24,1.2,2.5,545.88,25.0,2.0,25.0,550.049,0.9924206752489324
25,1.2,2.6,544.44,25.0,2.0,25.0,549.674,0.9904779924100469
26,1.2,2.7,543.04,25.0,2.0,25.0,549.296,0.9886108764673326
27,1.2,2.8,541.6,25.0,2.0,25.0,548.913,0.9866773058754302
28,1.2,2.9,540.16,25.0,2.0,25.0,548.523,0.9847536019455884
29,1.2,3.0,538.76,25.0,2.0,25.0,548.126,0.9829126879586081
30,1.2,3.1,537.36,25.0,2.0,25.0,547.719,0.9810870172478953
31,1.2,3.2,536.0,25.0,2.0,25.0,547.304,0.9793460307251546
32,1.2,3.3,534.72,25.0,2.0,25.0,546.878,0.9777683505279057
33,1.2,3.4,533.44,25.0,2.0,25.0,546.441,0.9762078614159626
34,1.2,3.5,532.24,25.0,2.0,25.0,545.992,0.9748128177702238
35,1.2,3.6,531.08,25.0,2.0,25.0,545.532,0.973508428469824
36,1.2,3.7,530.0,25.0,2.0,25.0,545.059,0.9723717982823878
37,1.2,3.8,529.04,25.0,2.0,25.0,544.573,0.9714767349831887
38,1.2,3.9,528.12,25.0,2.0,25.0,544.074,0.9706767829376152
39,1.2,4.0,527.36,25.0,2.0,25.0,543.562,0.9701929126760149
40,1.2,4.1,526.8,25.0,2.0,25.0,543.036,0.9701014297394648
41,1.2,4.2,526.4,25.0,2.0,25.0,542.497,0.97032794651399
42,1.2,4.3,526.24,25.0,2.0,25.0,541.944,0.9710228363078105
43,1.2,4.4,526.48,25.0,2.0,25.0,541.377,0.9724831309789668
44,1.2,4.5,527.04,25.0,2.0,25.0,540.796,0.9745634213270806
45,1.2,4.6,528.08,25.0,2.0,25.0,540.201,0.9775620556052285
46,1.2,4.7,529.76,25.0,2.0,25.0,539.592,0.9817788254829575
47,1.2,4.8,532.08,25.0,2.0,25.0,538.969,0.9872181888012111
48,1.2,4.9,535.08,25.0,2.0,25.0,538.332,0.9939591181649986
49,1.2,5.0,538.8,25.0,2.0,25.0,537.681,1.002081159646705
50,1.1,0.1,78.004,25.0,2.0,25.0,98.644,0.7907627427922631
51,1.1,0.2,210.708,25.0,2.0,25.0,225.191,0.9356857068000053
52,1.1,0.3,319.4,25.0,2.0,25.0,334.327,0.9553520954036018
53,1.1,0.4,404.2,25.0,2.0,25.0,418.064,0.9668376133797695
54,1.1,0.5,463.96,25.0,2.0,25.0,472.05,0.9828619849592204
55,1.1,0.6,498.08,25.0,2.0,25.0,500.126,0.9959090309242071
56,1.1,0.7,513.16,25.0,2.0,25.0,512.221,1.001833193094387
57,1.1,0.8,518.12,25.0,2.0,25.0,516.892,1.002375738065205
58,1.1,0.9,519.64,25.0,2.0,25.0,518.641,1.0019261878640524
59,1.1,1.0,520.16,25.0,2.0,25.0,519.33,1.0015982130822405
60,1.1,1.1,520.4,25.0,2.0,25.0,519.648,1.0014471334441775
61,1.1,1.2,520.44,25.0,2.0,25.0,519.839,1.0011561271855325
62,1.1,1.3,520.36,25.0,2.0,25.0,519.991,1.0007096276666327
63,1.1,1.4,520.08,25.0,2.0,25.0,520.13,0.9999038701862997
64,1.1,1.5,519.72,25.0,2.0,25.0,520.263,0.9989562971035802
65,1.1,1.6,519.28,25.0,2.0,25.0,520.393,0.9978612317998127
66,1.1,1.7,518.8,25.0,2.0,25.0,520.518,0.9966994417099887
67,1.1,1.8,518.28,25.0,2.0,25.0,520.636,0.9954747654791447
68,1.1,1.9,517.68,25.0,2.0,25.0,520.747,0.9941103837372083
69,1.1,2.0,517.08,25.0,2.0,25.0,520.849,0.992763737666771
70,1.1,2.1,516.4,25.0,2.0,25.0,520.941,0.9912830819612969
71,1.1,2.2,515.72,25.0,2.0,25.0,521.021,0.9898257459872061
72,1.1,2.3,515.04,25.0,2.0,25.0,521.088,0.9883935151068534
73,1.1,2.4,514.32,25.0,2.0,25.0,521.143,0.986907624202954
74,1.1,2.5,513.6,25.0,2.0,25.0,521.183,0.9854504080140757
75,1.1,2.6,512.88,25.0,2.0,25.0,521.209,0.984019846165358
76,1.1,2.7,512.16,25.0,2.0,25.0,521.22,0.9826177046160929
77,1.1,2.8,511.48,25.0,2.0,25.0,521.215,0.9813224868816132
78,1.1,2.9,510.76,25.0,2.0,25.0,521.194,0.9799805830458524
79,1.1,3.0,510.16,25.0,2.0,25.0,521.157,0.9788988730843105
80,1.1,3.1,509.56,25.0,2.0,25.0,521.103,0.9778489089489028
81,1.1,3.2,508.96,25.0,2.0,25.0,521.032,0.9768305977367991
82,1.1,3.3,508.44,25.0,2.0,25.0,520.943,0.9759992935887419
