,Vgs,Vds,Ids,length,finger,width,Ids_coarse,alpha
0,5.551115123e-17,0.5,1.86068e-05,25.0,2.0,25.0,7.408945999999999e-05,0.25113963578625087
1,0.025,0.5,1.1764e-05,25.0,2.0,25.0,0.00015726137999999998,0.07480539723103027
2,0.05,0.5,7.8336e-05,25.0,2.0,25.0,0.0003338008,0.2346788863298111
3,0.075,0.5,0.000189116,25.0,2.0,25.0,0.0007085194,0.266917179684847
4,0.1,0.5,0.00047944,25.0,2.0,25.0,0.0015038848,0.31880101454579496
5,0.125,0.5,0.00114628,25.0,2.0,25.0,0.00319208,0.3591012756572517
6,0.15,0.5,0.002802,25.0,2.0,25.0,0.005,0.5603999999999999
7,0.175,0.5,0.0068208,25.0,2.0,25.0,0.012,0.5684
8,0.2,0.5,0.0165564,25.0,2.0,25.0,0.028,0.5912999999999999
9,0.225,0.5,0.040172,25.0,2.0,25.0,0.063,0.6376507936507937
10,0.25,0.5,0.096644,25.0,2.0,25.0,0.135,0.7158814814814813
11,0.275,0.5,0.22724,25.0,2.0,25.0,0.289,0.7862975778546714
12,0.3,0.5,0.52708,25.0,2.0,25.0,0.614,0.8584364820846906
13,0.325,0.5,1.17056,25.0,2.0,25.0,1.297,0.9025134926754048
14,0.35,0.5,2.4572,25.0,2.0,25.0,2.72,0.9033823529411763
15,0.375,0.5,4.8212,25.0,2.0,25.0,5.622,0.8575595873354679
16,0.4,0.5,8.7696,25.0,2.0,25.0,10.866,0.807067918277195
17,0.425,0.5,14.7228,25.0,2.0,25.0,18.263,0.8061545200678968
18,0.45,0.5,22.992,25.0,2.0,25.0,27.803,0.8269611193036722
19,0.475,0.5,33.64,25.0,2.0,25.0,39.402,0.8537637683366327
20,0.5,0.5,46.488,25.0,2.0,25.0,52.907,0.8786738994840003
21,0.525,0.5,61.352,25.0,2.0,25.0,68.112,0.9007517030772845
22,0.55,0.5,77.912,25.0,2.0,25.0,84.796,0.9188169253266664
23,0.575,0.5,95.76,25.0,2.0,25.0,102.723,0.9322157647264976
24,0.6,0.5,114.744,25.0,2.0,25.0,121.655,0.943191812913567
25,0.625,0.5,134.568,25.0,2.0,25.0,141.357,0.9519726649546892
26,0.65,0.5,154.984,25.0,2.0,25.0,161.594,0.9590950159040559
27,0.675,0.5,175.768,25.0,2.0,25.0,182.137,0.9650318167094001
28,0.7,0.5,196.74,25.0,2.0,25.0,202.759,0.9703145113163905
29,0.725,0.5,217.692,25.0,2.0,25.0,223.264,0.9750429984233911
30,0.75,0.5,238.68,25.0,2.0,25.0,243.591,0.9798391566190869
31,0.775,0.5,259.56,25.0,2.0,25.0,263.725,0.9842070338420703
32,0.8,0.5,280.36,25.0,2.0,25.0,283.646,0.9884151371780318
33,0.825,0.5,301.0,25.0,2.0,25.0,303.333,0.992308782756904
34,0.85,0.5,321.36,25.0,2.0,25.0,322.761,0.9956593268703468
35,0.875,0.5,341.16,25.0,2.0,25.0,341.761,0.9982414611380468
36,0.9,0.5,360.08,25.0,2.0,25.0,360.08,1.0
37,0.925,0.5,378.08,25.0,2.0,25.0,377.642,1.0011598286207573
38,0.95,0.5,394.92,25.0,2.0,25.0,394.394,1.0013336916890216
39,0.975,0.5,410.44,25.0,2.0,25.0,410.27,1.0004143612742828
40,1.0,0.5,424.52,25.0,2.0,25.0,425.175,0.9984594578702887
41,1.025,0.5,437.12,25.0,2.0,25.0,438.986,0.9957492949661265
42,1.05,0.5,447.92,25.0,2.0,25.0,451.533,0.9919983699973203
43,1.075,0.5,456.88,25.0,2.0,25.0,462.62,0.9875924084561843
44,1.1,0.5,463.6,25.0,2.0,25.0,472.05,0.9820993538820041
45,1.125,0.5,467.96,25.0,2.0,25.0,479.68,0.9755670446964643
46,1.15,0.5,469.76,25.0,2.0,25.0,485.466,0.967647579851112
47,1.175,0.5,468.72,25.0,2.0,25.0,489.467,0.9576130770818054
48,1.2,0.5,464.72,25.0,2.0,25.0,491.821,0.9448966188918326
49,5.551115123e-17,1.0,2.2416e-05,25.0,2.0,25.0,9.397574e-05,0.23852964605546068
50,0.025,1.0,5.5824e-05,25.0,2.0,25.0,0.00019877953999999999,0.280833731680836
51,0.05,1.0,0.00012344,25.0,2.0,25.0,0.0004204624,0.29358154260642566
52,0.075,1.0,0.00029112,25.0,2.0,25.0,0.0008893684,0.32733341998658827
53,0.1,1.0,0.00071196,25.0,2.0,25.0,0.0018811962,0.3784613215782596
54,0.125,1.0,0.0017318,25.0,2.0,25.0,0.003979074,0.43522688947227417
55,0.15,1.0,0.0042708,25.0,2.0,25.0,0.006,0.7118
56,0.175,1.0,0.0104152,25.0,2.0,25.0,0.016,0.6509499999999999
57,0.2,1.0,0.025272,25.0,2.0,25.0,0.035,0.7220571428571427
58,0.225,1.0,0.060876,25.0,2.0,25.0,0.077,0.7905974025974026
59,0.25,1.0,0.146096,25.0,2.0,25.0,0.166,0.8800963855421686
60,0.275,1.0,0.3402,25.0,2.0,25.0,0.353,0.9637393767705383
61,0.3,1.0,0.774,25.0,2.0,25.0,0.746,1.0375335120643432
62,0.325,1.0,1.67992,25.0,2.0,25.0,1.569,1.0706947100063735
63,0.35,1.0,3.4132,25.0,2.0,25.0,3.27,1.0437920489296635
64,0.375,1.0,6.49,25.0,2.0,25.0,6.703,0.9682231836491123
65,0.4,1.0,11.3872,25.0,2.0,25.0,12.561,0.9065520261125707
66,0.425,1.0,18.4524,25.0,2.0,25.0,20.61,0.8953129548762737
67,0.45,1.0,27.856,25.0,2.0,25.0,30.841,0.90321325508252
68,0.475,1.0,39.544,25.0,2.0,25.0,43.15,0.9164310544611819
69,0.5,1.0,53.236,25.0,2.0,25.0,57.368,0.9279737832938223
70,0.525,1.0,68.744,25.0,2.0,25.0,73.29,0.9379724382589711
71,0.55,1.0,85.74,25.0,2.0,25.0,90.69,0.9454184584849487
72,0.575,1.0,103.876,25.0,2.0,25.0,109.339,0.9500361261763872
73,0.6,1.0,123.096,25.0,2.0,25.0,129.007,0.9541807808878587
74,0.625,1.0,143.04,25.0,2.0,25.0,149.47,0.956981334046966
75,0.65,1.0,163.604,25.0,2.0,25.0,170.507,0.9595148586275051
76,0.675,1.0,184.448,25.0,2.0,25.0,191.906,0.9611372234323055
77,0.7,1.0,205.576,25.0,2.0,25.0,213.456,0.9630837268570572
78,0.725,1.0,226.744,25.0,2.0,25.0,234.98,0.9649502085283854
79,0.75,1.0,248.48,25.0,2.0,25.0,256.436,0.9689747149386202
80,0.775,1.0,269.44,25.0,2.0,25.0,277.823,0.9698261123089161
81,0.8,1.0,290.6,25.0,2.0,25.0,299.142,0.9714449993648502
82,0.825,1.0,311.96,25.0,2.0,25.0,320.388,0.9736943955454012
83,0.85,1.0,333.44,25.0,2.0,25.0,341.556,0.9762381571396784
84,0.875,1.0,354.84,25.0,2.0,25.0,362.567,0.9786880769623268
85,0.9,1.0,375.84,25.0,2.0,25.0,383.136,0.98095715359559
86,0.925,1.0,396.52,25.0,2.0,25.0,403.15,0.9835545082475505
87,0.95,1.0,416.76,25.0,2.0,25.0,422.547,0.9863044821049491
88,0.975,1.0,436.2,25.0,2.0,25.0,441.242,0.9885731639327171
89,1.0,1.0,454.96,25.0,2.0,25.0,459.126,0.9909262381132848
90,1.025,1.0,472.84,25.0,2.0,25.0,476.053,0.9932507514919556
91,1.05,1.0,489.68,25.0,2.0,25.0,491.845,0.9955982067521272
92,1.075,1.0,505.44,25.0,2.0,25.0,506.32,0.9982619687154369
93,1.1,1.0,519.8,25.0,2.0,25.0,519.33,1.0009050122272927
94,1.125,1.0,532.72,25.0,2.0,25.0,530.813,1.0035926022912025
95,1.15,1.0,544.04,25.0,2.0,25.0,540.811,1.0059706625789784
96,1.175,1.0,553.64,25.0,2.0,25.0,549.449,1.0076276415099492
97,1.2,1.0,561.4,25.0,2.0,25.0,556.901,1.0080786351613662
98,5.551115123e-17,1.5,2.976e-05,25.0,2.0,25.0,0.00011786112,0.25250057016257776
99,0.025,1.5,6.7516e-05,25.0,2.0,25.0,0.0002484374,0.27176262511200006
100,0.05,1.5,0.000162964,25.0,2.0,25.0,0.0005236758,0.3111925355343898
101,0.075,1.5,0.00038076,25.0,2.0,25.0,0.0011038422,0.3449406083586948
102,0.1,1.5,0.0008996,25.0,2.0,25.0,0.0023267459999999998,0.3866343812345654
103,0.125,1.5,0.0021572,25.0,2.0,25.0,0.004904393999999999,0.4398504687837071
104,0.15,1.5,0.0053084,25.0,2.0,25.0,0.008,0.66355
105,0.175,1.5,0.0129588,25.0,2.0,25.0,0.02,0.64794
