formula,frac_Al,frac_Cr,frac_Mn,frac_Fe,frac_Co,frac_Ni,frac_Cu,frac_Mo,enthalpy,entropy,delta,Tm,x_e,x_ch,potential_energy,deltaG,omega,VEC,mendeleev_no,electrical_resistivity,velocity_of_sound,reflectivity,poissons_ratio,molar_volume,thermal_conductivity,boiling_point,melting_point,superconduction_temperature,liquid_range,bulk_modulus,youngs_modulus,brinell_hardness,rigidity_modulus,vickers_hardness,density_of_solid,atomic_radius_calculated,van_der_waals_radius,coefficient_of_linear_thermal_expansion,hardness_true
Al3Ni,0.75,0,0,0,0,0.25,0,0,-16.5,4.675514539,0.033961781,1132.1025,0.091289983,0,0.091289983,-1419.154362,0.320797679,4.75,76.75,3.83E-08,5067.5,71.25,0.34,9.1475,199,2890.5,1132.1025,1.13125,1758.3975,102,102.5,358.75,38.5,284.75,4252,1.2575,1.8725,2.07E-05,300
CrFeMo0.1Ni2,0,0.243902439,0,0.243902439,0,0.487804878,0,0.024390244,-4.90184414,9.387252868,0.019805739,1886.97561,0.06115276,0.059470888,0.120623647,-2821.077705,3.613643498,8.292682927,62.82926829,9.18E-08,5221.707317,52.63414634,0.280731707,6.936097561,90.2195122,3156.390244,1886.97561,0.997926829,1269.414634,173.902439,225.097561,770.7317073,85.6097561,755.3658537,8258.04878,1.558536585,2.013902439,1.07E-05,228
CrFeMo0.2Ni2,0,0.238095238,0,0.238095238,0,0.476190476,0,0.047619048,-5.034013605,9.824820837,0.021152761,1911,0.065311862,0.060171992,0.125483854,-2952.480265,3.729674588,8.095238095,62.66666667,9.10E-08,5244.761905,52.76190476,0.281428571,6.994285714,91.38095238,3198.190476,1911,0.995952381,1287.190476,175.2380952,227.5714286,788.0952381,84.04761905,773.8095238,8306.190476,1.566666667,2.017619048,1.06E-05,238
CrFeMo0.3Ni2,0,0.23255814,0,0.23255814,0,0.465116279,0,0.069767442,-5.148729043,10.14546599,0.022289396,1933.906977,0.068821368,0.060773004,0.129594372,-3048.788527,3.810724414,7.906976744,62.51162791,9.01E-08,5266.744186,52.88372093,0.282093023,7.049767442,92.48837209,3238.046512,1933.906977,0.994069767,1304.139535,176.5116279,229.9302326,804.6511628,82.55813953,791.3953488,8352.093023,1.574418605,2.021162791,1.05E-05,239
CrFeMo0.4Ni2,0,0.227272727,0,0.227272727,0,0.454545455,0,0.090909091,-5.247933884,10.39172134,0.023260091,1955.772727,0.071818515,0.061290214,0.133108729,-3122.764335,3.872732704,7.727272727,62.36363636,8.93E-08,5287.727273,53,0.282727273,7.102727273,93.54545455,3276.090909,1955.772727,0.992272727,1320.318182,177.7272727,232.1818182,820.4545455,81.13636364,808.1818182,8395.909091,1.581818182,2.024545455,1.03E-05,269
CrFeMo0.5Ni2,0,0.222222222,0,0.222222222,0,0.444444444,0,0.111111111,-5.333333333,10.58454652,0.024096386,1976.666667,0.07440068,0.061736496,0.136137176,-3180.697288,3.922897553,7.555555556,62.22222222,8.86E-08,5307.777778,53.11111111,0.283333333,7.153333333,94.55555556,3312.444444,1976.666667,0.990555556,1335.777778,178.8888889,234.3333333,835.5555556,79.77777778,824.2222222,8437.777778,1.588888889,2.027777778,1.02E-05,301
CoCrFeNi2,0,0.2,0,0.2,0.2,0.4,0,0,-3.84,11.07635283,0.017879487,1843,0.050867013,0.059335422,0.110202435,-3326.745849,5.316072465,8.6,63.2,8.62E-08,5102,55.4,0.286,6.834,91.2,3130,1843,1,1287,174,219.8,742,84.8,797.4,8346,1.544,2.008,1.13E-05,116
AlCrFeNi,0.25,0.25,0,0.25,0,0.25,0,0,-13.25,11.52629264,0.045360921,1663.1175,0.125904044,0.098331083,0.224235128,-3471.137793,1.44676068,6.75,66.25,8.15E-08,5230,52.25,0.29,7.7275,125,3014,1663.1175,1.04375,1350.8825,146.5,190,638.75,74.75,618.25,6655.5,1.4725,1.9775,1.33E-05,472
CoCrFeNi,0,0.25,0,0.25,0.25,0.25,0,0,-3.75,11.52629264,0.018181818,1871.75,0.051727143,0.057285008,0.109012151,-3461.637793,5.753156868,8.25,62.25,8.98E-08,5135,51.25,0.28,6.895,91.25,3116,1871.75,1,1244.25,172.5,224.75,752.5,87,837.25,8205.5,1.5575,2.0175,1.08E-05,135
CoCrFeNi,0,0.25,0,0.25,0.25,0.25,0,0,-3.75,11.52629264,0.018181818,1871.75,0.051727143,0.057285008,0.109012151,-3461.637793,5.753156868,8.25,62.25,8.98E-08,5135,51.25,0.28,6.895,91.25,3116,1871.75,1,1244.25,172.5,224.75,752.5,87,837.25,8205.5,1.5575,2.0175,1.08E-05,135
