Vgs,Ids
0.000000000000000000e+00,1.428077901700285877e-29
2.500000000000000139e-02,3.917511968326549080e-28
5.000000000000000278e-02,1.074654261067231857e-26
7.499999999999999722e-02,2.947998092072963195e-25
1.000000000000000056e-01,8.086966260418583424e-24
1.250000000000000000e-01,2.218421493317910452e-22
1.499999999999999944e-01,6.085587306209625782e-21
1.749999999999999889e-01,1.669402003769376968e-19
2.000000000000000111e-01,4.579513709951236679e-18
2.250000000000000056e-01,1.256254980662423406e-16
2.500000000000000000e-01,3.446166288375972867e-15
2.750000000000000222e-01,9.453544280346638772e-14
2.999999999999999889e-01,2.593302004998800480e-12
3.250000000000000111e-01,7.113961782266081169e-11
3.499999999999999778e-01,1.951506170544892526e-09
3.750000000000000000e-01,5.353372757751645074e-08
4.000000000000000222e-01,1.022933522461091311e-06
4.249999999999999889e-01,4.936101552387789227e-06
4.500000000000000111e-01,1.339551560417529449e-05
4.749999999999999778e-01,2.742220721970499721e-05
5.000000000000000000e-01,4.729127080267618008e-05
5.250000000000000222e-01,7.249604779752379731e-05
5.500000000000000444e-01,1.018193742109335979e-04
5.749999999999999556e-01,1.335009641396463676e-04
5.999999999999999778e-01,1.656756594208967138e-04
6.250000000000000000e-01,1.977708732114020563e-04
6.500000000000000222e-01,2.297849757601710887e-04
6.750000000000000444e-01,2.617182741564842751e-04
6.999999999999999556e-01,2.935710739413784228e-04
7.249999999999999778e-01,3.253436791173920607e-04
7.500000000000000000e-01,3.570363921582361431e-04
7.750000000000000222e-01,3.881245857095179407e-04
8.000000000000000444e-01,4.175971305192976470e-04
8.249999999999999556e-01,4.453671425973657798e-04
8.499999999999999778e-01,4.714350090341256358e-04
8.750000000000000000e-01,4.958077490696939866e-04
9.000000000000000222e-01,5.184935741693433341e-04
9.250000000000000444e-01,5.395007130390566674e-04
9.499999999999999556e-01,5.588370345268384902e-04
9.749999999999999778e-01,5.765098987043611525e-04
1.000000000000000000e+00,5.925260904747605079e-04
1.024999999999999911e+00,6.068917878882256096e-04
1.050000000000000044e+00,6.196125466270123883e-04
1.074999999999999956e+00,6.306932925551851426e-04
1.100000000000000089e+00,6.401383184504189777e-04
1.125000000000000000e+00,6.479512829186093474e-04
1.149999999999999911e+00,6.541352103998453573e-04
1.175000000000000044e+00,6.586924916403088691e-04
1.199999999999999956e+00,6.616248842566596275e-04
