Vgs,Ids
0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,0.000000000000000000e+00
5.000000000000000278e-02,0.000000000000000000e+00
7.499999999999999722e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.499999999999999944e-01,0.000000000000000000e+00
1.749999999999999889e-01,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
2.999999999999999889e-01,0.000000000000000000e+00
3.250000000000000111e-01,0.000000000000000000e+00
3.499999999999999778e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00
4.249999999999999889e-01,0.000000000000000000e+00
4.500000000000000111e-01,3.369169438412216696e-07
4.749999999999999778e-01,3.144805095591733725e-06
5.000000000000000000e-01,1.079969355832445920e-05
5.250000000000000222e-01,2.488930622295633640e-05
5.500000000000000444e-01,4.595179543747248904e-05
5.749999999999999556e-01,7.338899529435856340e-05
5.999999999999999778e-01,1.055689954313604576e-04
6.250000000000000000e-01,1.400996240526663150e-04
6.500000000000000222e-01,1.748635386737813714e-04
6.750000000000000444e-01,2.095323982474909055e-04
6.999999999999999556e-01,2.441065921053542863e-04
7.249999999999999778e-01,2.785865074556364228e-04
7.500000000000000000e-01,3.129725293977626724e-04
7.750000000000000222e-01,3.467383832772514890e-04
8.000000000000000444e-01,3.788702280756300065e-04
8.249999999999999556e-01,4.092819660014524407e-04
8.499999999999999778e-01,4.379750692596048943e-04
8.750000000000000000e-01,4.649576520861181217e-04
9.000000000000000222e-01,4.902390120769733800e-04
9.250000000000000444e-01,5.138284519683648886e-04
9.499999999999999556e-01,5.357349022236016596e-04
9.749999999999999778e-01,5.559667726301969863e-04
1.000000000000000000e+00,5.745318867141696248e-04
1.024999999999999911e+00,5.914374509758868383e-04
1.050000000000000044e+00,6.066900403408557714e-04
1.074999999999999956e+00,6.202955916917392070e-04
1.100000000000000089e+00,6.322594015858580248e-04
1.125000000000000000e+00,6.425861261530345283e-04
1.149999999999999911e+00,6.512797820798898324e-04
1.175000000000000044e+00,6.583437480544954449e-04
1.199999999999999956e+00,6.637807662982594297e-04
