Vgs,Ids,finger,width
0.0,7.140389508501531e-28,2.0,25.0
0.025,1.9587559841633016e-26,2.0,25.0
0.05,5.373271305336197e-25,2.0,25.0
0.075,1.473999046036492e-23,2.0,25.0
0.1,4.04348313020932e-22,2.0,25.0
0.125,1.1092107466589631e-20,2.0,25.0
0.15,3.042793653104834e-19,2.0,25.0
0.175,8.347010018846943e-18,2.0,25.0
0.2,2.289756854975626e-16,2.0,25.0
0.225,6.28127490331216e-15,2.0,25.0
0.25,1.7230831441879922e-13,2.0,25.0
0.275,4.7267721401733355e-12,2.0,25.0
0.3,1.2966510024994027e-10,2.0,25.0
0.325,3.5569808911330462e-09,2.0,25.0
0.35,9.757530852724473e-08,2.0,25.0
0.375,2.6766863788758237e-06,2.0,25.0
0.4,5.114667612305455e-05,2.0,25.0
0.425,0.0002468050776193894,2.0,25.0
0.45,0.0006697757802087645,2.0,25.0
0.475,0.0013711103609852498,2.0,25.0
0.5,0.0023645635401338084,2.0,25.0
0.525,0.003624802389876189,2.0,25.0
0.55,0.005090968710546679,2.0,25.0
0.575,0.006675048206982316,2.0,25.0
0.6,0.008283782971044837,2.0,25.0
0.625,0.0098885436605701,2.0,25.0
0.65,0.011489248788008551,2.0,25.0
0.675,0.01308591370782421,2.0,25.0
0.7,0.01467855369706892,2.0,25.0
0.725,0.0162671839558696,2.0,25.0
0.75,0.017851819607911802,2.0,25.0
0.775,0.01940622928547589,2.0,25.0
0.8,0.020879856525964878,2.0,25.0
0.825,0.022268357129868285,2.0,25.0
0.85,0.023571750451706276,2.0,25.0
0.875,0.024790387453484698,2.0,25.0
0.9,0.02592467870846716,2.0,25.0
0.925,0.026975035651952826,2.0,25.0
0.95,0.02794185172634192,2.0,25.0
0.975,0.028825494935218052,2.0,25.0
1.0,0.029626304523738014,2.0,25.0
1.025,0.030344589394411273,2.0,25.0
1.05,0.03098062733135061,2.0,25.0
1.075,0.03153466462775925,2.0,25.0
1.1,0.032006915922520945,2.0,25.0
1.125,0.03239756414593046,2.0,25.0
1.15,0.03270676051999226,2.0,25.0
1.175,0.032934624582015425,2.0,25.0
1.2,0.03308124421283297,2.0,25.0
0.0,1.4280779017003063e-27,2.0,50.0
0.025,3.917511968326603e-26,2.0,50.0
0.05,1.0746542610672395e-24,2.0,50.0
0.075,2.947998092072984e-23,2.0,50.0
0.1,8.08696626041864e-22,2.0,50.0
0.125,2.2184214933179262e-20,2.0,50.0
0.15,6.085587306209668e-19,2.0,50.0
0.175,1.6694020037693885e-17,2.0,50.0
0.2,4.579513709951252e-16,2.0,50.0
0.225,1.256254980662432e-14,2.0,50.0
0.25,3.4461662883759845e-13,2.0,50.0
0.275,9.453544280346671e-12,2.0,50.0
0.3,2.5933020049988053e-10,2.0,50.0
0.325,7.1139617822660925e-09,2.0,50.0
0.35,1.9515061705448946e-07,2.0,50.0
0.375,5.353372757751647e-06,2.0,50.0
0.4,0.0001022933522461091,2.0,50.0
0.425,0.0004936101552387788,2.0,50.0
0.45,0.001339551560417529,2.0,50.0
0.475,0.0027422207219704995,2.0,50.0
0.5,0.004729127080267617,2.0,50.0
0.525,0.007249604779752378,2.0,50.0
0.55,0.010181937421093358,2.0,50.0
0.575,0.013350096413964632,2.0,50.0
0.6,0.016567565942089673,2.0,50.0
0.625,0.0197770873211402,2.0,50.0
